incident_zip,created_date,latitude,longitude
10463,2020-05-19T09:19:11.000,40.884709233462566,-73.91031509704531
11221,2019-06-22T19:45:01.000,40.686982911358925,-73.93749795924562
11385,2020-05-19T20:53:11.000,40.70349487527877,-73.87586297912026
10463,2020-05-24T21:21:26.000,40.87481737842576,-73.90352324799962
11228,2020-05-24T21:27:47.000,40.61479226715457,-74.01200135933068
10461,2020-05-24T22:03:05.000,40.84502644482729,-73.83179692672617
10465,2020-05-24T21:06:30.000,40.81624477944797,-73.81875535765772
10463,2020-05-24T21:23:55.000,40.87628246342609,-73.9028304631379
10302,2020-05-24T20:58:29.000,40.63764679098395,-74.14149669952421
10033,2019-07-01T17:51:27.000,40.85169329006472,-73.93018612480634
10308,2020-05-24T21:20:36.000,40.540553583971565,-74.14471987427747
10463,2020-05-24T21:23:04.000,40.88564444913916,-73.89944617796353
10463,2020-05-24T20:47:58.000,40.87602186087904,-73.90300079606398
10472,2019-06-30T22:12:08.000,40.82984240456614,-73.86976616873731
11226,2019-06-30T15:18:24.000,40.64466711966379,-73.95632965166024
10312,2019-06-30T20:20:12.000,40.542941824929144,-74.18128054448182
11226,2019-06-30T21:45:40.000,40.65130698792159,-73.95695597400044
11220,2019-06-29T12:00:24.000,40.6466126755325,-74.01128276610083
11226,2019-06-30T21:54:47.000,40.64463069353147,-73.96196188292737
11428,2019-06-29T21:27:13.000,40.71920370710972,-73.73972634522777
11223,2019-07-01T13:25:55.000,40.60635004159611,-73.97551052684064
10464,2020-05-24T21:28:16.000,40.8384321565702,-73.7832129970919
10305,2020-05-24T21:46:47.000,40.58474555262158,-74.09402357294961
11426,2020-05-25T22:51:37.000,40.72788461425823,-73.71504273057383
10461,2020-05-25T23:42:54.000,40.851071797974754,-73.83473480796661
11361,2020-05-25T21:03:27.000,40.76500756712077,-73.77174120555547
10030,2020-05-25T23:55:18.000,40.81910333448003,-73.94707091506147
10040,2020-05-25T22:10:58.000,40.85284555442006,-73.92934629554779
10463,2020-05-25T20:18:04.000,40.88768873091231,-73.90874145743568
11414,2020-05-25T21:26:16.000,40.65080811772588,-73.83583272208102
10309,2020-05-25T21:04:14.000,40.539282825862436,-74.21479121057772
11105,2020-05-25T20:59:31.000,40.77918678605304,-73.91501036944896
10465,2020-05-25T21:48:22.000,40.83900519064728,-73.8195137269422
11214,2020-05-25T22:02:22.000,40.61329142529741,-73.99609568397702
